Botanica Plant Ordering Spreadsheet,,,,,,,,,,,,,,,,,
,,,,Miami-Dade County,,,,,,,,,,,,,
Item,Size,Nur.,Quantity,Berneckers,Butlers,Capri,Consolidated,Sturon,Sunshine,Vine & Culture,Quality,Tim Griffin,FL Indoor,,,,
Aglo,"6""",,,,,,,,,,,,,,,,
Aglo,"8""",,,,,,,,,,,,,,,,
Aglo,"10""",,,,,,,,,,,,,,,,
Aglo,"14""",,,,,,,,,,,,,,,,
Aglo (Mary Ann/Maria),"6""",,,6.75,,5.50,,6.00,,,,,8.25,,,,
Aglo (Mary Ann/Maria),"8""",,,,,9.50,,10.50,,,,,14.00,,,,
Aglo (Mary Ann/Maria),"10""",,,19.50,,15.50,14.50,15.00,,,,,18.00,,,,
Aglo (Mary Ann/Maria),"14""",,,50.00,,34.00,29.50,34.50,,,,,49.00,,,,
Aglo (Siam),"6""",,,7.50,,,,,,,,,,,,,
Aglo (Siam),"8""",,,,,13.50,,,,,,,,,,,
Aglo (Siam),"10""",,,,,22.00,,,,,,,,,,,
Aglo (Siam),"14""",,,,,,,,,,,,,,,,
Aglo (Silver Bay),"6""",,,6.75,,6.00,,6.00,,,,,7.00,,,,
Aglo (Silver Bay),"8""",,,13.50,,9.00,9.50,10.50,,,,,9.50,,,,
Aglo (Silver Bay),"10""",,,17.50,,14.00,13.50,14.00,,,,,14.75,,,,
Aglo (Silver Bay),"14""",,,35.00,,32.00,28.00,34.50,,,,,35.50,,,,
Aglo (Spring Snow),"8""",,,,,12.00,,13.50,,,,,,,,,
Aglo (Spring Snow),"10""",,,,,20.00,,,,,,,,,,,
Aglo (Spring Snow),"14""",,,,,44.00,,,,,,,,,,,
Art,"10""",,,15.00,13.00,14.00,,,,,,,14.50,,,,
Art,"14""",,,,,31.00,,,,,,,30.00,,,,
Art Cane,"12""",,,,,55.00,,,,58.00,,,48.00,,,,
Art Cane,"14""",,,,,65.00,,,,,,,,,,,
Dorado,"6""",,,,,,,4.50,,,,,4.50,,,,
Dorado,"8""",,,,,,,8.00,,,,,8.25,,,,
Dorado Cane,"10""",,,,,38.50,,32.00,,31.00,,,35.00,,,,
Dorado Cane,"12""",,,,,49.50,,,,58.00,,,48.00,,,,
Elegance Cane,"10""",,,,,33.00,,32.00,,28.00,,,35.00,,,,
Elegance Cane,"12""",,,,,55.00,,65.00,,52.00,,,48.00,,,,
Elegance Cane,"14""",,,,,65.00,,65.00,,64.00,,,,,,,
Giganta,"10""",,,,,11.50,,,,,,,,,,,
Giganta,"14""",,,,,33.00,,,,,,,,,,,
Green Jewel,"6""",,,,,4.00,,4.50,,,,,4.50,,,,
Green Jewel,"10""",,,15.00,,14.00,,14.50,,,,,14.50,,,,
Green Jewel Cane,"10""",,,,,31.00,,35.00,,31.00,,,35.00,,,,
Green Jewel Cane,"12""",,,,,,,,,58.00,,,,,,,
Hawaiian Sunshine,"10""",,,,,,,,,28.00,,,35.00,,,,
Hawaiian Sunshine,"12""",,,,,,,,,56.00,,,48.00,,,,
Jade Jewel,"6""",,,,,,3.75,4.50,,,,,,,,,
Jade Jewel,"10""",,,,,,,14.50,,,,,,,,,
Janet Craig,"10""",,,14.00,,13.50,,13.50,,,,,14.50,,,,
Janet Craig,"14""",,,24.00,,29.00,,30.00,,,,,30.00,,,,
Janet Craig Cane,"10""",,,,,31.00,,,,,,,35.00,,,,
Janet Craig Cane,"12""",,,,,51.00,,,,,,,48.00,,,,
Janet Craig Cane,"14""",,,,,60.00,,,,64.00,,,,,,,
JC Compacta,"6""",,,3.75,,4.00,3.75,4.50,,,,,4.50,,,,
JC Compacta,"10""",,,15.00,,13.50,14.50,14.50,,,,,14.50,,,,
JC Compacta Cane,"10""",,,,,33.00,38.50,,,31.00,,,35.00,,,,
JC Compacta Cane,"12""",,,,,50.00,55.00,,,60.00,,,48.00,,,,
Lemon Lime,"10""",,,,13.00,13.50,14.50,,,,,,,,,,
Lemon Lime,"14""",,,,,29.00,32.50,,,,,,,,,,
Lemon Lime Cane,"10""",,,,,31.00,,,,31.00,,,,,,,
Lemon Lime Cane,"12""",,,,,50.00,,,,58.00,,,,,,,
Lemon Surprise,"6""",,,,,,,4.50,,,,,5.25,,,,
Lemon Surprise,"8""",,,,,,,,,,,,,,,,
Limelight,"10""",,,15.00,13.00,13.50,,14.50,,,,,14.50,,,,
Limelight,"12""",,,,,31.00,,,,,,,,,,,
Limelight,"14""",,,27.00,,,,,,,,,30.00,,,,
Lind Cane,"10""",,,35.00,,35.00,,,,31.00,,,35.00,,,,
Lind Cane,"12""",,,,,42.00,,,,42.00,,,48.00,,,,
Lind Cane,"14""",,,,,53.00,,,,54.00,,,55.00,,,,
Marginata (Cut-Back),"10""",,,12.00,,19.00,6.85,12.00,13.00,19.00,,14.00,15.00,,,,
Marginata (Cut-Back),"14""",,,28.50,,33.00,,30.00,20.00,28.50,,,36.00,,,,
Marginata Character,"10""",,,,,20.00,,,19.50,18.50,,,16.25,,,,
Marginata Character,"14""",,,,,54.00,,,,36.00,,,32.00,,,,
Marginata Open Weave,"10""",,,24.00,,28.50,,28.00,,,,,36.50,,,,
Marginata Open Weave,"14""",,,44.00,,45.00,,48.00,,,,,46.50,,,,
Mass Cane,"10""",,,13.50,,22.00,,13.00,,12.50,,,15.00,,,,
Mass Cane,"14""",,,27.00,,33.00,,33.00,,31.00,,,33.00,,,,
Moonlight Cane,"10""",,,,,13.00,,,,,,,,,,,
Moonlight Cane,"14""",,,,,,,,,,,,,,,,
Reflexa,"14""",,,,,65.00,34.50,,55.00,45.00,,,,,,,
Riki,"10""",,,,,,12.50,,,,,,9.00,,,,
Riki Cane,"10""",,,,,,32.00,,,28.00,,,,,,,
Riki Cane,"12""",,,,,,51.50,,,52.00,,,,,,,
Song of India,"14""",,,,,45.00,49.50,,50.00,75.00,,,,,,,
Song of Jamaica,"14""",,,,,,36.50,,,45.00,,,,,,,
Tarzan,"10""",,,22.00,,28.00,,,15.00,,,,28.00,,,,
Tarzan,"14""",,,70.00,,52.00,,,32.00,,,,53.00,,,,
Ulysses,"10""",,,,,,14.50,,,,,,14.50,,,,
Ulysses,"14""",,,,,,34.50,,,,,,,,,,
Ulysses Cane,"10""",,,,,31.00,32.50,,,31.00,,,,,,,
Ulysses Cane,"12""",,,,,60.00,49.50,50.00,,58.00,,,,,,,
Adonidia Palm (Multi) 2X 3X,"14""",,,,,60.00,48.50,55.00,,,,48.00,,,,,
Adonidia Palm (Multi) 2X 3X,"17""",,,85.00,,130.00,120.00,130.00,,,,105.00,132.00,,,,
Adonidia Palm (Single),"14""",,,,,,52.00,,,,,,,,,,
Adonidia Palm (Single),"17""",,,85.00,,,120.00,120.00,,,,,,,,,
Areca Palm,"10""",,,,,15.00,9.50,12.50,,,,13.50,8.00,,,,
Areca Palm,"14""",,,42.00,,38.00,26.50,30.00,,,,30.50,28.00,,,,
Cham Metallica,,,,,,,,,,,,17.30,,,,,
Cham Palm,"10""",,,8.50,,21.00,,10.00,,,,9.50,14.25,,,,
Cham Palm,"14""",,,36.00,,54.00,,40.00,,,,30.00,35.00,,,,
Cham Palm,"17""",,,75.00,,133.00,,,,,,,55.00,,,,
Fishtail Palm,"10""",,,,,20.00,18.50,,,,,15.00,,,,,
Fishtail Palm,"14""",,,45.00,,40.00,36.50,36.00,,,,32.00,,,,,
Fishtail Palm,"17""",,,,,110.00,115.00,90.00,,,,85.00,,,,,
Kentia,"10""",,,,,,,,,,,80.00,,,,,
Kentia,"14""",,,,,,,,,,,,,,,,
Majesty Palm,"14""",,,30.75,,35.00,,30.00,,,,29.00,36.00,,,,
Rhapis (Florida),"10""",,,,,,26.50,32.00,,,,32.50,27.00,,,,
Rhapis (Florida),"14""",,,110.00,,,85.00,85.00,,,,100.00,75.00,,,,
Rhapis (Florida),"17""",,,125.00,,,155.00,195.00,,,,200.00,277.50,,,,
Roebelenii (Multi),"14""",,,27.50,,,,26.00,,,,28.50,31.00,,,,
Roebelenii (Multi),"17""",,,94.50,,,,,,,,85.00,53.00,,,,
Roebelenii (Single),"14""",,,27.50,,20.00,,,,,,28.50,,,,,
Roebelenii (Single),"17""",,,94.50,,75.00,,,,,,85.00,,,,,
Anthurium R W P,"6""",,,8.00,,7.00,9.25,,,,,,,,,,
Anthurium R W P,"8""",,,,,14.00,,,,,,,,,,,
Anthurium R W P,"10""",,,18.75,,20.00,18.00,,,,,,,,,,
Aralia (Balfour),"14""",,,130.00,,90.00,,,,,,,99.00,,,,
Aralia (Ming),"14""",,,60.00,,95.00,,,,,,,60.00,,,,
Cast Iron,"10""",,,29.00,,,,,,,,,,,,,
Cast Iron,"14""",,,55.00,,,,,,,,,,,,,
Clusia,"14""",,,,,,,,,,,,25.00,,,,
Cordyline,"10""",,,8.50,9.50,,9.50,9.00,,,,,12.00,,,,
Cordyline,"14""",,,,,,22.50,,,,,,33.00,,,,
Croton,"10""",,,8.50,9.50,,,,,,,,9.25,,,,
Croton,"14""",,,,,,,,,,,,30.00,,,,
Eugenia Topiary Pom Pom,"10""",,,34.50,,,,,,,,,,,,,
Eugenia Topiary,"10""",,,,,,,,,,,,13.00,,,,
Eugenia Topiary,"14""",,,32.00,,,,40.00,,,,,30.00,,,,
Fern,"6""",,,,,,,,,,,,4.00,,,,
Ficus,"10""",,,,,,,,,,,,,,,,
Ficus,"14""",,,,,,,,,,,,,,,,
Ficus (Alii-Braid),"10""",,,,,12.00,,,,,,,13.25,,,,
Ficus (Alii-Braid),"14""",,,34.50,,35.00,,,,,,,40.50,,,,
Ficus (Lyrata Bush),"10""",,,15.00,12.50,9.50,,13.00,,,,15.65,12.00,,,,
Ficus (Lyrata Bush),"14""",,,41.75,29.00,45.00,42.50,38.00,,,,,45.00,,,,
Ficus (Lyrata Bush),"17""",,,150.00,,124.00,110.00,,,,,,,,,,
Ficus (Lyrata Standard),"10""",,,17.00,14.50,16.50,18.50,15.00,,,,16.00,18.00,,,,
Ficus (Lyrata Standard),"14""",,,65.00,36.00,45.00,49.00,50.00,,,,,50.00,,,,
Ficus (Lyrata Standard),"17""",,,150.00,,124.00,115.00,90.00,,,,,94.50,,,,
Philodendron,"10""",,,,,10.50,,,,,,,,,,,
Philodendron,"14""",,,,,30.00,,,,,,,,,,,
Philodendron (Congo Rojo),"10""",,,,9.75,15.00,,14.50,,,,,15.00,,,,
Philodendron (Congo Rojo),"14""",,,,,35.00,,32.00,,,,,30.00,,,,
Philodendron (Split Leaf),"10""",,,9.00,,10.00,,9.50,,,,,8.00,,,,
Philodendron (Split Leaf),"14""",,,30.00,,30.00,,,,,,,30.00,,,,
Ponytail Palm,"10""",,,12.00,,,,10.00,,,,,12.50,,,,
Ponytail Palm,"14""",,,,,,,,50.00,,,,28.00,,,,
Pothos (Golden),"6""",,,4.00,,4.00,,4.00, ,,,,4.50,,,,
Pothos (Golden),"8""",,,4.75,,6.75,,6.75,,,,,7.00,,,,
Pothos (Golden),"10""",,,5.75,,8.00,,,,,,,7.75,,,,
Pothos (Jade),"6""",,,,,4.00,,5.00,,,,,4.50,,,,
Pothos (Jade),"8""",,,4.75,,6.75,,,,,,,7.00,,,,
Pothos (Neon),"6""",,,,,4.50,,,,,,,5.25,,,,
Pothos (Silver Satin),"6""",,,,,,,,,,,,,,,,
Pothos (Totem),"10""",,,17.50,,,,,,,,,,,,,
Pothos (Totem),"14""",,,116.00,,,,,,,,,,,,,
Sansevaria (Black Coral),"6""",,,,4.50,4.25,,4.50,,,,,4.50,,,,
Sansevaria (Futura Superba),"6""",,,,,,,4.50,,,,,5.25,,,,
Sansevaria (Laurentii),"6""",,,6.50,4.50,4.25,,4.50,,,,,4.50,,,,
Sansevaria (Laurentii),"10""",,,10.00,10.00,10.50,11.00,11.00,,,,,10.00,,,,
Sansevaria (Laurentii),"14""",,,,31.00,35.00,32.00,36.00,,,,,36.00,,,,
Sansevaria (Zeylanica),"6""",,,6.50,4.50,4.25,,4.50,,,,,4.50,,,,
Sansevaria (Zeylanica),"10""",,,10.00,10.00,10.50,11.00,11.00,,,,,10.00,,,,
Sansevaria (Zeylanica),"14""",,,,31.00,35.00,32.50,36.00,,,,,36.00,,,,
Schefflera (Amate),"14""",,,,,48.00,,,,,,,,,,,
Schefflera (Arboricola),"10""",,,,,9.50,8.50,7.50,,,,,9.50,,,,
Schefflera (Arboricola),"12""",,,,,,28.50,,,,,,,,,,
Schefflera (Arboricola),"14""",,,,,27.00,28.50,28.00,,,,,30.00,,,,
Schefflera (Gold Capella),"14""",,,,,27.00,28.50,28.00,,,,,30.00,,,,
Spath,"10""",,,,9.75,14.50,,,,,,,13.85,,,,
Spath,"14""",,,,,30.00,,,,,,,,,,,
Spath Sensation,"10""",,,,,12.00,,,,,,,,,,,
Spath Sensation,"14""",,,,,32.00,,,,,,,,,,,
White Bird,"10""",,,15.00,,16.50,,,,,,16.00,22.00,,,,
White Bird,"12""",,,,,,,,,,,,,,,,
White Bird,"14""",,,,,45.00,,,,,,39.50,63.00,,,,
White Bird,"17""",,,85.00,,95.00,,,,,,90.00,,,,,
Yucca Cane,"10""",,,,,,,,,13.00,,,14.50,,,,
Yucca Cane,"14""",,,,,,,,,32.50,,,33.00,,,,
ZZ,"6""",,,5.00,6.00,7.00,,6.25,,,,,6.50,,,,
ZZ,"8""",,,,12.00,12.00,,13.00,,,,12.50,18.00,,,,
ZZ,"10""",,,,17.50,18.00,,18.00,,,,,25.00,,,,
ZZ,"14""",,,,36.00,36.00,,38.00,,,,,47.00,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,