Botanica Plant Ordering Spreadsheet,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Size,Nur.,Quantity,Boyd,Carter Road,Michaels,Mcdougald,Mulvehill,,,,,
Aglo (Mary Ann/Maria),"6""",,,,,5.00,,,,,,,
Aglo (Mary Ann/Maria),"10""",,,,,14.70,,,,,,,
Aglo (Silver Bay),"10""",,,,,14.70,,,,,,,
Art,"10""",,,,14.00,,,,,,,,
Dorado Cane,"10""",,,,30.00,,,,,,,,
Elegance Cane,"12""",,,,50.00,,,,,,,,
Green Jewel,"10""",,,,14.00,,,,,,,,
Hawaiian Sunshine,"10""",,,,14.00,,,,,,,,
Jade Jewel Cane,"10""",,,,30.00,,,,,,,,
Janet Craig,"10""",,,,13.00,,,,,,,,
Janet Craig Cane,"10""",,,,,12.00,,,,,,,
JC Compacta,"6""",,,,4.00,,,3.00,,,,,
JC Compacta Cane,"10""",,,,30.00,,,,,,,,
Lemon Lime,"10""",,,,13.00,12.00,,,,,,,
Lemon Lime Cane,"10""",,,,30.00,,,,,,,,
Limelight,"10""",,,,14.00,12.00,,,,,,,
Lind Cane,"14""",,,,44.00,,,,,,,,
Marginata (Cut-Back),"10""",,,,,,,,,,,,
Marginata (Cut-Back),"14""",,,,,,20.00,,,,,,
Mass Cane,"10""",,,,10.50,,,,,,,,
Mass Cane,"14""",,,,33.00,,,,,,,,
Riki,"10""",,,,10.00,,,,,,,,
Song of India,"14""",,,,,,25.00,,,,,,
Adonidia Palm (Multi) 2X 3X,"14""",,,45.00,,,,,,,,,
Adonidia Palm (Multi) 2X 3X,"17""",,,95.00,,,,,,,,,
Adonidia Palm (Single),"14""",,,45.00,,32.00,,,,,,,
Adonidia Palm (Single),"17""",,,95.00,,,,,,,,,
Areca Palm,"10""",,,,,7.50,5.00,,,,,,
Cham Palm,"10""",,,15.00,,,5.00,,,,,,
Cham Palm,"14""",,,40.00,,,22.50,,,,,,
Cham Palm,"17""",,,100.00,,,40.00,,,,,,
Fishtail Palm,"10""",,,,,,6.00,,,,,,
Fishtail Palm,"14""",,,45.00,,,25.00,,,,,,
Fishtail Palm,"17""",,,95.00,,,,,,,,,
Majesty Palm,"14""",,,,,,20.00,,,,,,
Rhapis (Florida),"10""",,,,,,22.00,,,,,,
Rhapis (Florida),"14""",,,75.00,,,55.00,,,,,,
Rhapis (Florida),"17""",,,150.00,,,120.00,,,,,,
Roebelenii (Multi),"14""",,,,,,25.00,,,,,,
Roebelenii (Multi),"17""",,,,,,40.00,,,,,,
Anthurium R W P,"6""",,,,,,4.50,,,,,,
Anthurium R W P,"10""",,,,,,7.00,,,,,,
Cordyline,"10""",,,,7.75,,,,,,,,
Croton,"10""",,,,,,4.75,,,,,,
Croton,"14""",,,,,,25.00,,,,,,
Ficus (Lyrata Standard),"17""",,,,,76.00,,,,,,,
Ponytail Palm,"10""",,,,17.00,,,,,,,,
Sansevaria (Futura Superba),"6""",,,5.50,,,,,,,,,
Sansevaria (Laurentii),"6""",,,5.50,,5.00,,3.25,,,,,
Sansevaria (Laurentii),"10""",,,10.00,9.50,,,,,,,,
Sansevaria (Laurentii),"14""",,,35.00,,,,,,,,,
Sansevaria (Zeylanica),"6""",,,5.50,,5.00,,3.25,,,,,
Sansevaria (Zeylanica),"14""",,,35.00,27.50,,,,,,,,
Schefflera (Amate),"14""",,,,29.00,35.00,,,,,,,
Schefflera (Arboricola),"10""",,,,,,4.75,,,,,,
Schefflera (Arboricola),"14""",,,,,,16.00,,,,,,
Schefflera (Gold Capella),"14""",,,,,,16.00,,,,,,
White Bird,"10""",,,,,,10.00,,,,,,
White Bird,"12""",,,,,,25.00,,,,,,
White Bird,"14""",,,,,,45.00,,,,,,
ZZ,"14""",,,,35.00,,,,,,,,